"prope","pvalue","qvalue"
"MELK",9.0701268221033e-09,6.24750335506475e-05
"PLAT",2.48211965883519e-08,0.000170943580903979
"RRM2",3.45289648603788e-08,0.000237766452028568
"CENPE",8.65940381519533e-08,0.000596199952676198
"TPX2",1.07630431820996e-07,0.000740927892655737
"PDE4A",1.09693027721063e-07,0.000755017109804076
"FMOD",1.16764976264896e-07,0.000803576566655012
"KCND3",1.29240740131648e-07,0.000889305532845869
"AURKA",1.32291930328542e-07,0.000910168480660367
"HJURP",1.6064597381319e-07,0.00110508365386093
"BIRC5",2.88958833788655e-07,0.00198745885879837
"CCNB2",4.02907447093328e-07,0.00277079451366082
"C7",6.0994485846928e-07,0.00419398084683477
"EVL",7.8212886267129e-07,0.00537713593086512
"BTG2",1.01406664916688e-06,0.00697069414637315
"BUB1B",1.03480002113707e-06,0.00711218054527508
"YWHAZ",1.17622749890131e-06,0.00808303537244983
"RTN1",1.58447401634216e-06,0.010886920966287
"TEX10",1.64619032679452e-06,0.0113093275450784
"PGR",1.72940999645684e-06,0.0118793172656621
"GARS",1.770990897302e-06,0.0121631654826701
"RAI2",1.97471637851281e-06,0.0135603773712475
"KIF4A",2.03327334062351e-06,0.013960454756721
"FOS",2.37425234903511e-06,0.016299242376126
"CYCS",2.55607638566073e-06,0.0175449083111752
"CCNB1",2.82676676196145e-06,0.0194001002873414
"FOXM1",2.98916279050767e-06,0.0205116350684636
"CELSR1",3.39847882637478e-06,0.0233169632277574
"SLC7A5",3.67282341044871e-06,0.0251955685956782
"PGK1",3.74310857817141e-06,0.0256739817376777
"UBE2C",4.19058404246119e-06,0.0287390253631988
"KIF13B",4.26508897113542e-06,0.0292457150750756
"FBXL18",4.38947606260699e-06,0.0300942478852335
"FAU",4.47142978216585e-06,0.0306516511567469
"FBLN1",4.51754938554628e-06,0.0309632834885342
"KIF20A",4.78960112705076e-06,0.0328231365236788
"COL14A1",5.16506816583299e-06,0.0353910470722877
"CDC20",5.18074371311756e-06,0.0354932751785684
"CDC25A",5.94789765956991e-06,0.0407430989680539
"CIRBP",6.00071828734112e-06,0.0410989195499993
"YBX1",6.33889071223252e-06,0.0434087235973683
